id,case_one,case_two,date_time_column,Age,Gender,Department,City,Education_Level,Satisfaction,Performance,Salary,Experience_Years
1,B4,31,,32,Male,HR,Quetta,Master's,Low,Poor,120748,9
2,MN32,86,12/05/2021,29,Male,Sales,Quetta,PhD,Medium,Poor,101244,4
3,D18,28,,32,Male,Sales,Quetta,Master's,Low,Average,68777,10
4,B87,33,,27,Female,Finance,Mardan,Master's,Medium,Good,100028,0
5,BC12,22,,25,Male,IT,Islamabad,Master's,High,Excellent,125981,1
6,XYZ5,96,,27,Female,IT,Islamabad,PhD,High,Excellent,90242,4
7,A12,21,11/29/2023,33,Male,Finance,Mardan,Bachelor's,Medium,Good,46007,11
8,D30,14,,34,Female,Sales,Quetta,Bachelor's,High,Good,61932,10
9,BC78,40,,35,Female,Sales,Lahore,PhD,High,Excellent,86033,12
10,A72,49,03/31/2021,31,Female,Finance,Peshawar,Master's,Low,Average,126018,7
11,D92,92,,33,Male,Finance,Mardan,Bachelor's,High,Poor,89500,7
12,BC54,76,,32,Male,HR,Peshawar,Bachelor's,Medium,Average,129599,5
13,D58,81,,41,Female,Marketing,Karachi,PhD,Medium,Good,68218,18
14,MN1,90,,36,Female,Finance,Karachi,Bachelor's,Medium,Poor,127756,7
15,C90,88,06/25/2021,32,Male,Sales,Karachi,PhD,Medium,Excellent,55057,6
16,XYZ44,16,,46,Female,Sales,Mardan,Bachelor's,Medium,Poor,87143,21
17,MN20,73,11/07/2021,43,Male,Finance,Islamabad,Master's,Medium,Excellent,102595,14
18,D98,45,,41,Female,IT,Karachi,PhD,Medium,Good,53639,14
19,XY14,85,,39,Female,Marketing,Mardan,PhD,High,Poor,90851,15
20,B49,65,,31,Male,Marketing,Karachi,Master's,Low,Good,132833,7
21,B46,2,,45,Male,HR,Mardan,Bachelor's,Medium,Poor,70166,16
22,XY78,63,,49,Female,HR,Mardan,Bachelor's,High,Average,123282,25
23,MN6,47,,42,Female,Marketing,Mardan,PhD,Low,Good,103222,17
24,AB69,59,,39,Female,Marketing,Karachi,PhD,Medium,Average,105513,10
25,B49,56,,22,Male,Sales,Peshawar,Master's,Low,Average,93655,0
26,B71,67,,23,Female,IT,Lahore,Bachelor's,Medium,Good,104130,0
27,MN81,35,,21,Female,HR,Mardan,Bachelor's,Medium,Excellent,57987,0
28,XY74,69,,21,Female,HR,Mardan,PhD,High,Excellent,47490,0
29,D91,60,,22,Female,IT,Peshawar,Master's,High,Poor,100027,0
30,B6,94,,30,Female,HR,Karachi,Master's,Low,Poor,45205,2
31,D99,42,,38,Female,IT,Quetta,Master's,Medium,Good,96177,16
32,MN11,12,,44,Female,HR,Peshawar,Master's,High,Good,121271,21
33,D13,58,,36,Male,Marketing,Peshawar,Master's,Low,Poor,62675,12
34,XYZ36,60,,37,Female,Finance,Peshawar,PhD,Low,Good,116176,9
35,AB82,86,,46,Female,Marketing,Lahore,Master's,Low,Excellent,102272,19
36,XY21,4,,37,Female,IT,Lahore,PhD,Low,Good,55828,11
37,XY46,42,,30,Female,HR,Quetta,Master's,Medium,Excellent,103447,4
38,D86,28,,46,Female,Finance,Karachi,PhD,High,Average,54835,24
39,MN90,34,05/08/2018,23,Female,Finance,Lahore,PhD,Low,Average,129562,0
40,B78,77,,45,Male,Sales,Islamabad,Master's,Medium,Good,120225,22
41,C69,36,,36,Male,Finance,Islamabad,PhD,Medium,Average,118619,8
42,D21,67,,25,Male,Marketing,Peshawar,PhD,Medium,Good,104250,2
43,AB49,11,,48,Male,Finance,Karachi,Bachelor's,Low,Average,138298,24
44,MN82,53,07/23/2019,38,Male,Sales,Peshawar,Bachelor's,Medium,Excellent,106263,11
45,BC29,98,,47,Female,IT,Lahore,Master's,High,Good,61426,24
46,XY99,61,,25,Male,IT,Karachi,Bachelor's,Medium,Average,110911,0
47,A30,63,,37,Female,HR,Quetta,PhD,Medium,Average,55336,11
48,A41,3,,26,Female,Sales,Peshawar,Bachelor's,Low,Poor,67439,2
49,XYZ35,e,,45,Male,Marketing,Quetta,PhD,Medium,Good,126016,17
50,B28,32,,23,Female,Marketing,Lahore,Master's,Low,Good,65719,1
51,XY28,75,,31,Male,Finance,Karachi,PhD,Low,Good,97260,4
52,AB51,71,,28,Male,Finance,Lahore,PhD,Medium,Average,57689,4
53,AB19,55,,26,Female,Marketing,Islamabad,Master's,Low,Poor,112466,0
54,MN18,71,,27,Male,Finance,Lahore,PhD,High,Excellent,51377,0
55,D96,90,,34,Female,Marketing,Islamabad,Bachelor's,Medium,Poor,79664,10
56,BC69,40,,30,Female,Sales,Islamabad,PhD,High,Poor,95639,7
57,MN96,16,,31,Male,Sales,Karachi,Master's,High,Poor,63909,4
58,XYZ75,41,,46,Female,HR,Karachi,PhD,Low,Good,113069,17
59,XYZ47,69,,40,Female,Sales,Karachi,PhD,Medium,Good,122820,14
60,D18,89,,24,Female,IT,Karachi,Master's,Medium,Average,121507,0
61,BC64,28,,41,Male,IT,Karachi,PhD,Low,Average,64369,13
62,B97,36,,34,Female,IT,Quetta,Bachelor's,High,Average,98788,9
63,A15,98,,31,Female,Sales,Islamabad,PhD,High,Good,105249,7
64,C81,37,,29,Female,Finance,Quetta,Bachelor's,High,Excellent,74473,3
65,C88,25,,50,Male,Sales,Quetta,PhD,Medium,Excellent,82721,24
66,XYZ77,47,11/14/2021,43,Female,Finance,Quetta,Master's,Low,Average,90398,20
67,B50,2,,40,Male,Sales,Mardan,PhD,Low,Poor,76779,15
68,XYZ77,17,,24,Male,Marketing,Quetta,Master's,Medium,Average,45679,0
69,AB68,7,,50,Male,Sales,Quetta,PhD,Low,Average,130498,27
70,MN71,90,,33,Female,IT,Peshawar,Master's,High,Poor,69420,4
71,A88,82,,38,Female,Finance,Mardan,Bachelor's,Medium,Average,62589,9
72,B88,63,,21,Male,HR,Karachi,PhD,Medium,Excellent,83669,0
73,BC97,2,,24,Female,Finance,Mardan,Bachelor's,Medium,Excellent,63430,0
74,MN99,61,,30,Female,HR,Peshawar,PhD,Low,Excellent,79282,8
75,XY15,44,,50,Male,Finance,Islamabad,PhD,Low,Average,135477,24
76,MN56,7,,40,Female,Sales,Quetta,Bachelor's,Low,Poor,99505,13
77,C59,62,11/23/2023,39,Male,Sales,Karachi,Bachelor's,Low,Good,53094,16
78,A93,9,,43,Female,IT,Lahore,Bachelor's,High,Excellent,56919,14
79,MN65,10,,42,Male,Marketing,Islamabad,Bachelor's,High,Average,139801,16
80,C65,88,,43,Male,IT,Lahore,Bachelor's,Medium,Excellent,115931,20
81,B81,e,,49,Female,Marketing,Peshawar,PhD,High,Average,103790,21
82,MN82,39,,38,Male,HR,Peshawar,Bachelor's,Medium,Excellent,114316,10
83,BC78,e,,47,Female,Finance,Mardan,Master's,Low,Poor,77441,22
84,D20,98,,50,Male,IT,Peshawar,PhD,Low,Excellent,76544,28
85,XY98,77,,22,Male,Sales,Mardan,Bachelor's,Low,Good,102535,0
86,C70,29,,45,Female,HR,Quetta,PhD,Low,Excellent,76051,18
87,BC1,49,,39,Female,Sales,Lahore,Bachelor's,Medium,Excellent,127050,15
88,XY63,57,,30,Female,HR,Mardan,Master's,High,Average,69101,2
89,A15,76,,38,Male,Finance,Mardan,Master's,High,Poor,95910,14
90,XY40,40,,47,Female,Marketing,Quetta,PhD,High,Poor,51755,22
91,D8,8,,48,Male,HR,Mardan,PhD,Low,Excellent,84739,21
